college,draft_team,draft_year
University of Cincinnati,Atlanta Hawks,2000
University of Utah,Atlanta Hawks,2000
"University of California, Los Angeles",Boston Celtics,2000
University of Kentucky,Charlotte Hornets,2000
Indiana University,Chicago Bulls,2000
Iowa State University,Chicago Bulls,2000
University of Connecticut,Chicago Bulls,2000
University of Connecticut,Chicago Bulls,2000
University of Texas at Austin,Chicago Bulls,2000
University of Michigan,Cleveland Cavaliers,2000
Syracuse University,Dallas Mavericks,2000
Vanderbilt University,Dallas Mavericks,2000
Auburn University,Denver Nuggets,2000
Northern Arizona University,Denver Nuggets,2000
Michigan State University,Detroit Pistons,2000
Purdue University,Detroit Pistons,2000
Auburn University,Golden State Warriors,2000
University of Minnesota,Houston Rockets,2000
University of Oklahoma,Houston Rockets,2000
DePaul University,Los Angeles Clippers,2000
Stanford University,Los Angeles Lakers,2000
Arizona State University,Miami Heat,2000
Indian Hills Community College,Miami Heat,2000
"Indiana University, Georgia Institute of Technology",Milwaukee Bucks,2000
Ohio State University,Milwaukee Bucks,2000
Syracuse University,Milwaukee Bucks,2000
University of Cincinnati,New Jersey Nets,2000
St. John's University,New York Knicks,2000
University of Florida,New York Knicks,2000
University of Florida,Orlando Magic,2000
University of Missouri,Orlando Magic,2000
"University of Virginia, California State University, Fresno",Orlando Magic,2000
Hofstra University,Philadelphia 76ers,2000
St. John's University,Portland Trail Blazers,2000
Louisiana State University,Sacramento Kings,2000
Oklahoma State University,Seattle SuperSonics,2000
Michigan State University,Toronto Raptors,2000
"Tyler Junior College, University of Idaho",Utah Jazz,2000
Louisiana State University,Vancouver Grizzlies,2000
University of Louisiana at Monroe,Washington Wizards,2000
University of Maryland,Atlanta Hawks,2001
Okaloosa-Walton Community College,Boston Celtics,2001
University of Arkansas,Boston Celtics,2001
University of North Carolina,Boston Celtics,2001
Indiana University,Charlotte Hornets,2001
Austin Peay State University,Chicago Bulls,2001
University of California,Chicago Bulls,2001
University of North Carolina,Cleveland Cavaliers,2001
University of Southern California,Cleveland Cavaliers,2001
University of Cincinnati,Dallas Mavericks,2001
University of North Carolina at Charlotte,Detroit Pistons,2001
Michigan State University,Golden State Warriors,2001
University of Arizona,Golden State Warriors,2001
University of Notre Dame,Golden State Warriors,2001
Pepperdine University,Houston Rockets,2001
Stanford University,Houston Rockets,2001
University of Arizona,Houston Rockets,2001
Auburn University,Indiana Pacers,2001
Clemson University,Memphis Grizzlies,2001
Duke University,Memphis Grizzlies,2001
Iowa State University,Memphis Grizzlies,2001
Ohio State University,Miami Heat,2001
"Wake Forest University, University of Arizona",Minnesota Timberwolves,2001
Seton Hall University,New Jersey Nets,2001
University of Southern California,New Jersey Nets,2001
DePaul University,Orlando Magic,2001
Southern Methodist University,Orlando Magic,2001
St. John's University,Orlando Magic,2001
Georgia Institute of Technology,Philadelphia 76ers,2001
Seton Hall University,Philadelphia 76ers,2001
Syracuse University,Philadelphia 76ers,2001
University of Houston,Phoenix Suns,2001
Georgetown University,Portland Trail Blazers,2001
Michigan State University,Portland Trail Blazers,2001
University of Alabama,Sacramento Kings,2001
DePaul University,Seattle SuperSonics,2001
"University of California, Los Angeles",Seattle SuperSonics,2001
"University of Kentucky, Villanova University",Toronto Raptors,2001
Stanford University,Utah Jazz,2001
Wake Forest University,Boston Celtics,2002
Duke University,Chicago Bulls,2002
University of Maryland,Chicago Bulls,2002
University of Virginia,Chicago Bulls,2002
Duke University,Cleveland Cavaliers,2002
University of Memphis,Cleveland Cavaliers,2002
University of Illinois at Urbana-Champaign,Denver Nuggets,2002
University of Tennessee,Denver Nuggets,2002
University of Kentucky,Detroit Pistons,2002
Duke University,Golden State Warriors,2002
"California State University, Fresno",Houston Rockets,2002
University of Oregon,Indiana Pacers,2002
"California State University, Fresno",Los Angeles Clippers,2002
University of Maryland,Los Angeles Clippers,2002
"University of Arkansas, California State University, Fresno",Los Angeles Lakers,2002
"University of California, Los Angeles",Memphis Grizzlies,2002
University of Illinois at Urbana-Champaign,Memphis Grizzlies,2002
University of Kansas,Memphis Grizzlies,2002
La Salle University,Miami Heat,2002
University of Connecticut,Miami Heat,2002
"Meridian Community College, Shaw University",Milwaukee Bucks,2002
"Tulane University, University of Texas at Austin",Milwaukee Bucks,2002
"University of California, Los Angeles",Milwaukee Bucks,2002
University of Tennessee,Milwaukee Bucks,2002
Marshall University,New Jersey Nets,2002
Stanford University,Orlando Magic,2002
Stanford University,Phoenix Suns,2002
Northeast Mississippi Community College,Portland Trail Blazers,2002
Central Connecticut State University,Sacramento Kings,2002
"University of Washington, Gonzaga University",Sacramento Kings,2002
"California State University, Fresno, San Diego State University",San Antonio Spurs,2002
University of Miami,San Antonio Spurs,2002
University of Missouri,Toronto Raptors,2002
University of California,Utah Jazz,2002
"University of Oklahoma, University of Notre Dame",Utah Jazz,2002
Indiana University,Washington Wizards,2002
University of Maryland,Washington Wizards,2002
"Utah Valley State College, Brigham Young University",Atlanta Hawks,2003
Boston College,Boston Celtics,2003
Ohio University,Boston Celtics,2003
"Rutgers University, Duke University",Boston Celtics,2003
University of Florida,Chicago Bulls,2003
University of Kansas,Chicago Bulls,2003
"University of California, Los Angeles",Cleveland Cavaliers,2003
Wake Forest University,Dallas Mavericks,2003
Syracuse University,Denver Nuggets,2003
Mississippi State University,Golden State Warriors,2003
University of Miami,Indiana Pacers,2003
Central Michigan University,Los Angeles Clippers,2003
University of Arizona,Los Angeles Lakers,2003
University of Illinois at Urbana-Champaign,Los Angeles Lakers,2003
"University of Nevada, Las Vegas",Memphis Grizzlies,2003
Marquette University,Miami Heat,2003
"Midland College, University of North Dakota",Miami Heat,2003
University of Kentucky,Milwaukee Bucks,2003
University of Texas at Austin,Milwaukee Bucks,2003
Creighton University,New Jersey Nets,2003
Xavier University,New Orleans Hornets,2003
Georgetown University,New York Knicks,2003
University of Louisville,Orlando Magic,2003
University of Detroit Mercy,Seattle SuperSonics,2003
University of Kansas,Seattle SuperSonics,2003
University of Oregon,Seattle SuperSonics,2003
Georgia Institute of Technology,Toronto Raptors,2003
University of Alabama,Utah Jazz,2003
University of Maryland,Washington Wizards,2003
"Western Carolina University, University of Georgia",Washington Wizards,2003
Southeastern Illinois College,Atlanta Hawks,2004
Stanford University,Atlanta Hawks,2004
University of Texas at Austin,Atlanta Hawks,2004
"Butler County Community College, Oklahoma State University",Boston Celtics,2004
Saint Joseph's University,Boston Celtics,2004
University of Mississippi,Boston Celtics,2004
University of Connecticut,Charlotte Bobcats,2004
University of Michigan,Charlotte Bobcats,2004
Duke University,Chicago Bulls,2004
Iowa State University,Chicago Bulls,2004
University of Connecticut,Chicago Bulls,2004
University of Oregon,Cleveland Cavaliers,2004
Saint Joseph's University,Denver Nuggets,2004
"Rutgers University, Manhattan College",Houston Rockets,2004
University of Colorado,Indiana Pacers,2004
Xavier University,Los Angeles Clippers,2004
"California State University, Fullerton",Miami Heat,2004
Vanderbilt University,Miami Heat,2004
"University of California, Los Angeles",New York Knicks,2004
University of Memphis,Orlando Magic,2004
University of Arizona,Philadelphia 76ers,2004
Duke University,Phoenix Suns,2004
Western Carolina University,Sacramento Kings,2004
Texas Tech University,Seattle SuperSonics,2004
Brigham Young University,Toronto Raptors,2004
University of Minnesota,Utah Jazz,2004
"University of Nevada, Reno",Utah Jazz,2004
University of Wisconsin,Washington Wizards,2004
University of Arizona,Atlanta Hawks,2005
University of North Carolina,Atlanta Hawks,2005
Providence College,Boston Celtics,2005
"University of Florida, University of Louisiana at Lafayette",Boston Celtics,2005
University of North Carolina,Charlotte Bobcats,2005
University of North Carolina,Charlotte Bobcats,2005
Georgia Institute of Technology,Denver Nuggets,2005
North Carolina State University,Denver Nuggets,2005
Pepperdine University,Detroit Pistons,2005
University of Cincinnati,Detroit Pistons,2005
Arizona State University,Golden State Warriors,2005
University of Pittsburgh,Golden State Warriors,2005
University of Illinois at Urbana-Champaign,Houston Rockets,2005
"Bradley University, University of New Mexico",Indiana Pacers,2005
Duke University,Los Angeles Clippers,2005
Florida State University,Los Angeles Lakers,2005
Gonzaga University,Los Angeles Lakers,2005
Syracuse University,Memphis Grizzlies,2005
University of Kansas,Miami Heat,2005
University of Utah,Milwaukee Bucks,2005
Indiana University,Minnesota Timberwolves,2005
University of North Carolina,Minnesota Timberwolves,2005
Texas A&M University,New Jersey Nets,2005
Louisiana State University,New Orleans Hornets,2005
Wake Forest University,New Orleans Hornets,2005
University of Arizona,New York Knicks,2005
"University of California, Los Angeles",New York Knicks,2005
University of Florida,New York Knicks,2005
Marquette University,Orlando Magic,2005
University of Washington,Phoenix Suns,2005
University of Missouri,Portland Trail Blazers,2005
University of Louisville,Sacramento Kings,2005
"Baylor University, Mississippi State University",Seattle SuperSonics,2005
"University of Central Florida, Oklahoma State University",Toronto Raptors,2005
University of Connecticut,Toronto Raptors,2005
"Barton County Community College, University of Cincinnati, Walsh University",Utah Jazz,2005
University of Illinois at Urbana-Champaign,Utah Jazz,2005
Duke University,Atlanta Hawks,2006
University of South Florida,Atlanta Hawks,2006
Villanova University,Boston Celtics,2006
Gonzaga University,Charlotte Bobcats,2006
"University of California, Los Angeles",Charlotte Bobcats,2006
University of Memphis,Chicago Bulls,2006
University of Texas at Austin,Chicago Bulls,2006
Michigan State University,Cleveland Cavaliers,2006
University of Texas at Austin,Cleveland Cavaliers,2006
Michigan State University,Dallas Mavericks,2006
University of California,Denver Nuggets,2006
Iowa State University,Detroit Pistons,2006
Bradley University,Golden State Warriors,2006
Marquette University,Houston Rockets,2006
University of Connecticut,Houston Rockets,2006
Florida State University,Indiana Pacers,2006
University of Memphis,Indiana Pacers,2006
Michigan State University,Los Angeles Clippers,2006
University of Miami,Los Angeles Clippers,2006
"University of California, Los Angeles",Los Angeles Lakers,2006
Villanova University,Memphis Grizzlies,2006
University of North Carolina,Milwaukee Bucks,2006
Boston College,Minnesota Timberwolves,2006
University of Washington,Minnesota Timberwolves,2006
University of Washington,Minnesota Timberwolves,2006
University of Arizona,New Jersey Nets,2006
University of Connecticut,New Jersey Nets,2006
University of Connecticut,New Jersey Nets,2006
North Carolina State University,New Orleans/Oklahoma City Hornets,2006
University of Connecticut,New Orleans/Oklahoma City Hornets,2006
Temple University,New York Knicks,2006
University of South Carolina,New York Knicks,2006
Duke University,Orlando Magic,2006
University of Illinois at Urbana-Champaign,Orlando Magic,2006
University of Kentucky,Phoenix Suns,2006
Louisiana State University,Portland Trail Blazers,2006
"University of Florida, University of Cincinnati",Portland Trail Blazers,2006
Rutgers University,Sacramento Kings,2006
University of Texas at Austin,Toronto Raptors,2006
